Authors,Author(s) ID,Title,Year,Source title,General conference name,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Clark R., Dickinson T., Loaiza J., Geiger D.W., Charles S.K.",57218095797;57218102993;57218105310;57197795830;14033673100;,Tracking joint angles during whole-arm movements using electromagnetic sensors,2020,Journal of Biomechanical Engineering,NULL,142,7, 074502-1,,,,1,10.1115/1.4045814,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087880389&doi=10.1115%2f1.4045814&partnerID=40&md5=18e43dd8a28eb0713298f24915e2f2e8,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Neuroscience Center, Brigham Young University, Provo, UT  84602, United States","Clark, R., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Dickinson, T., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Loaiza, J., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Geiger, D.W., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Charles, S.K., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States, Neuroscience Center, Brigham Young University, Provo, UT  84602, United States","Electromagnetic (EM) motion tracking systems are suitable for many research and clinical applications, including in vivo measurements of whole-arm movements. Unfortunately, the methodology for in vivo measurements of whole-arm movements using EM sensors is not well described in the literature, making it difficult to perform new measurements and all but impossible to make meaningful comparisons between studies. The recommendations of the International Society of Biomechanics (ISB) have provided a great service, but by necessity they do not provide clear guidance or standardization on all required steps. The goal of this paper was to provide a comprehensive methodology for using EM sensors to measure whole-arm movements in vivo. We selected methodological details from past studies that were compatible with the ISB recommendations and suitable for measuring whole-arm movements using EM sensors, filling in gaps with recommendations from our own past experiments. The presented methodology includes recommendations for defining coordinate systems (CSs) and joint angles, placing sensors, performing sensor-to-body calibration, calculating rotation matrices from sensor data, and extracting unique joint angles from rotation matrices. We present this process, including all equations, for both the right and left upper limbs, models with nine or seven degrees-of-freedom (DOF), and two different calibration methods. Providing a detailed methodology for the entire process in one location promotes replicability of studies by allowing researchers to clearly define their experimental methods. It is hoped that this paper will simplify new investigations of whole-arm movement using EM sensors and facilitate comparison between studies. © 2020 American Society of Mechanical Engineers (ASME). All rights reserved.",Electromagnetic sensors; In vivo measurements; Inverse kinematics; ISB; Landmark; Postural; Sensor-to-body; Sensor-to-segment; Upper limb; Whole arm,Calibration; Clinical research; Degrees of freedom (mechanics); Joints (anatomy); Calibration method; Clinical application; Co-ordinate system; Electromagnetic sensors; Experimental methods; In-vivo measurement; International Society of Biomechanics; Motion tracking system; Motion tracking; anatomic landmark; arm movement; Article; body position; comparative study; elbow; electromagnetism; forearm; in vivo study; kinematics; methodology; rotation; shoulder; wrist,Journal,Final,,Scopus,2-s2.0-85087880389
"Corie T.H., Charles S.K.",57208682307;14033673100;,Simulated Tremor Propagation in the Upper Limb: From Muscle Activity to Joint Displacement,2019,Journal of Biomechanical Engineering,NULL,141,8,81001,,,,1,10.1115/1.4043442,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065513594&doi=10.1115%2f1.4043442&partnerID=40&md5=1dd4b8cc243d4dc09997a0be61158f59,"Mechanical Engineering, 350 EB, Provo, UT  84602, United States; Mechanical Engineering and Neuroscience, Brigham Young University, 350 EB, Provo, UT  84602, United States","Corie, T.H., Mechanical Engineering, 350 EB, Provo, UT  84602, United States; Charles, S.K., Mechanical Engineering and Neuroscience, Brigham Young University, 350 EB, Provo, UT  84602, United States","Although tremor is the most common movement disorder, there are few noninvasive treatment options. Creating effective tremor suppression devices requires a knowledge of where tremor originates mechanically (which muscles) and how it propagates through the limb (to which degrees-of-freedom (DOF)). To simulate tremor propagation, we created a simple model of the upper limb, with tremorogenic activity in the 15 major superficial muscles as inputs and tremulous joint displacement in the seven major DOF as outputs. The model approximated the muscle excitation-contraction dynamics, musculoskeletal geometry, and mechanical impedance of the limb. From our simulations, we determined fundamental principles for tremor propagation: (1) The distribution of tremor depends strongly on musculoskeletal dynamics. (2) The spreading of tremor is due to inertial coupling (primarily) and musculoskeletal geometry (secondarily). (3) Tremorogenic activity in a given muscle causes significant tremor in only a small subset of DOF, though these affected DOF may be distant from the muscle. (4) Assuming uniform distribution of tremorogenic activity among muscles, tremor increases proximal-distally, and the contribution from muscles increases proximal-distally. (5) Although adding inertia (e.g., with weighted utensils) is often used to suppress tremor, it is possible to increase tremor by adding inertia to the wrong DOF. (6) Similarly, adding viscoelasticity to the wrong DOF can increase tremor. Based solely on the musculoskeletal system, these principles indicate that tremor treatments targeting muscles should focus first on the distal muscles, and devices targeting DOF should focus first on the distal DOF. © 2019 by ASME.",,Degrees of freedom (mechanics); Joints (anatomy); Muscle; Noninvasive medical procedures; Fundamental principles; Mechanical impedances; Musculoskeletal dynamics; Musculoskeletal geometry; Non-invasive treatment; Superficial muscles; Suppression devices; Uniform distribution; Diseases; abduction; adduction; arm muscle; Article; biomechanics; body position; daily life activity; dislocation; electromyography; essential tremor; excitation contraction coupling; human; impedance; muscle contraction; muscle excitation; muscle strength; nonlinear system; Parkinson disease; simulation; torque; tremor; upper limb; viscoelasticity,Journal,Final,,Scopus,2-s2.0-85065513594
"Bruening D.A., Pohl M.B., Takahashi K.Z., Barrios J.A.",12445208100;55708105800;56164575400;35236338800;,"Midtarsal locking, the windlass mechanism, and running strike pattern: A kinematic and kinetic assessment",2018,Journal of Biomechanics,NULL,73,4,11,185,191,,14,10.1016/j.jbiomech.2018.04.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045559964&doi=10.1016%2fj.jbiomech.2018.04.010&partnerID=40&md5=96cfb2b6adb1502f42ac4f74fd325276,"Brigham Young University, Provo, UT, United States; University of Puget Sound, Tacoma, WA, United States; University of Nebraska at Omaha, Omaha, NE, United States; University of Dayton, Dayton, OH, United States","Bruening, D.A., Brigham Young University, Provo, UT, United States; Pohl, M.B., University of Puget Sound, Tacoma, WA, United States; Takahashi, K.Z., University of Nebraska at Omaha, Omaha, NE, United States; Barrios, J.A., University of Dayton, Dayton, OH, United States","Changes in running strike pattern affect ankle and knee mechanics, but little is known about the influence of strike pattern on the joints distal to the ankle. The purpose of this study was to explore the effects of forefoot strike (FFS) and rearfoot strike (RFS) running patterns on foot kinematics and kinetics, from the perspectives of the midtarsal locking theory and the windlass mechanism. Per the midtarsal locking theory, we hypothesized that the ankle would be more inverted in early stance when using a FFS, resulting in decreased midtarsal joint excursions and increased dynamic stiffness. Associated with a more engaged windlass mechanism, we hypothesized that a FFS would elicit increased metatarsophalangeal joint excursions and negative work in late stance. Eighteen healthy female runners ran overground with both FFS and RFS patterns. Instrumented motion capture and a validated multi-segment foot model were used to analyze midtarsal and metatarsophalangeal joint kinematics and kinetics. During early stance in FFS the ankle was more inverted, with concurrently decreased midtarsal eversion (p < 0.001) and abduction excursions (p = 0.003) but increased dorsiflexion excursion (p = 0.005). Dynamic midtarsal stiffness did not differ (p = 0.761). During late stance in FFS, metatarsophalangeal extension was increased (p = 0.009), with concurrently increased negative work (p < 0.001). In addition, there was simultaneously increased midtarsal positive work (p < 0.001), suggesting enhanced power transfer in FFS. Clear evidence for the presence of midtarsal locking was not observed in either strike pattern during running. However, the windlass mechanism appeared to be engaged to a greater extent during FFS. © 2018 Elsevier Ltd",Forefoot strike; Metatarsophalangeal joint; Midfoot; Multi-segment foot; Rearfoot strike,Energy transfer; Joints (anatomy); Kinematics; Kinetics; Stiffness; Windlasses; Forefoot strike; Metatarsophalangeal joints; Mid-foot; Multi-segment foot; Rearfoot; Locks (fasteners); adult; Article; female; forefoot strike; gait; human; human experiment; kinematics; kinetics; metatarsophalangeal joint; midtarsal locking; normal human; priority journal; rearfoot strike; rigidity; running strike pattern; windlass mechanism; biomechanics; foot joint; physiology; running; young adult; Adult; Biomechanical Phenomena; Female; Foot Joints; Humans; Kinetics; Running; Young Adult,Journal,Final,,Scopus,2-s2.0-85045559964
"Stubbs C.J., Sun W., Cook D.D.",57203922639;57196487336;16199522200;,Measuring the transverse Young's modulus of maize rind and pith tissues,2019,Journal of Biomechanics,NULL,84,4,,113,120,,3,10.1016/j.jbiomech.2018.12.028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059563555&doi=10.1016%2fj.jbiomech.2018.12.028&partnerID=40&md5=116048b86cc97c37e79a3f75c429d327,"New York University, United States; New York University Abu Dhabi, United Arab Emirates; Dept of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States","Stubbs, C.J., New York University, United States; Sun, W., New York University Abu Dhabi, United Arab Emirates; Cook, D.D., Dept of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States","Wind-induced bending loads frequently cause failure of maize (corn) stalks. When failure occurs, it usually manifests as transverse buckling. Because this failure mode is closely related to transverse tissue stiffness, the purpose of this study was to develop a method for measuring the transverse Young's modulus of maize stalk rind and pith tissues. Short, disc-shaped stalk segments were used for this purpose. X-ray computed tomography was used to obtain the geometry of each specimen prior to testing. Each specimen was tested in two different configurations. Computed tomography data was used to create a specimen-specific finite element model of each test specimen. Data from the first testing configuration was used in conjunction with the finite element model to determine the Young's Modulus values for each specimen. The specimen-specific finite element models provided estimates of the stress states in the stem under transverse loading, and these stress states accurately predicted the location of failure in transverse test specimens. The entire testing method was validated using data from one test configuration to predict the structural response of each specimen during the second test configuration. © 2018",Finite element modeling; Stiffness; Tissue properties; Transverse compression; Young's modulus,"Computerized tomography; Elastic moduli; Histology; Stiffness; Stress analysis; Testing; Tissue; Tissue engineering; Computed tomography data; Specific finite element; Structural response; Testing configurations; Tissue properties; Transverse compression; Transverse Young's modulus; X-ray computed tomography; Finite element method; article; compression; geometry; human tissue; maize; nonhuman; rigidity; stress; x-ray computed tomography; biomechanics; finite element analysis; mechanical stress; physiology; Young modulus; Biomechanical Phenomena; Elastic Modulus; Finite Element Analysis; Stress, Mechanical; Zea mays",Journal,Final,,Scopus,2-s2.0-85059563555
"Bruening D.A., Pohl M.B., Takahashi K.Z., Barrios J.A.",12445208100;55708105800;56164575400;35236338800;,"Midtarsal locking, the windlass mechanism, and running strike pattern: A kinematic and kinetic assessment",2018,Journal of Biomechanics,NULL,73,4,44,185,191,,14,10.1016/j.jbiomech.2018.04.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045559964&doi=10.1016%2fj.jbiomech.2018.04.010&partnerID=40&md5=96cfb2b6adb1502f42ac4f74fd325276,"Brigham Young University, Provo, UT, United States; University of Puget Sound, Tacoma, WA, United States; University of Nebraska at Omaha, Omaha, NE, United States; University of Dayton, Dayton, OH, United States","Bruening, D.A., Brigham Young University, Provo, UT, United States; Pohl, M.B., University of Puget Sound, Tacoma, WA, United States; Takahashi, K.Z., University of Nebraska at Omaha, Omaha, NE, United States; Barrios, J.A., University of Dayton, Dayton, OH, United States","Changes in running strike pattern affect ankle and knee mechanics, but little is known about the influence of strike pattern on the joints distal to the ankle. The purpose of this study was to explore the effects of forefoot strike (FFS) and rearfoot strike (RFS) running patterns on foot kinematics and kinetics, from the perspectives of the midtarsal locking theory and the windlass mechanism. Per the midtarsal locking theory, we hypothesized that the ankle would be more inverted in early stance when using a FFS, resulting in decreased midtarsal joint excursions and increased dynamic stiffness. Associated with a more engaged windlass mechanism, we hypothesized that a FFS would elicit increased metatarsophalangeal joint excursions and negative work in late stance. Eighteen healthy female runners ran overground with both FFS and RFS patterns. Instrumented motion capture and a validated multi-segment foot model were used to analyze midtarsal and metatarsophalangeal joint kinematics and kinetics. During early stance in FFS the ankle was more inverted, with concurrently decreased midtarsal eversion (p < 0.001) and abduction excursions (p = 0.003) but increased dorsiflexion excursion (p = 0.005). Dynamic midtarsal stiffness did not differ (p = 0.761). During late stance in FFS, metatarsophalangeal extension was increased (p = 0.009), with concurrently increased negative work (p < 0.001). In addition, there was simultaneously increased midtarsal positive work (p < 0.001), suggesting enhanced power transfer in FFS. Clear evidence for the presence of midtarsal locking was not observed in either strike pattern during running. However, the windlass mechanism appeared to be engaged to a greater extent during FFS. © 2018 Elsevier Ltd",Forefoot strike; Metatarsophalangeal joint; Midfoot; Multi-segment foot; Rearfoot strike,Energy transfer; Joints (anatomy); Kinematics; Kinetics; Stiffness; Windlasses; Forefoot strike; Metatarsophalangeal joints; Mid-foot; Multi-segment foot; Rearfoot; Locks (fasteners); adult; Article; female; forefoot strike; gait; human; human experiment; kinematics; kinetics; metatarsophalangeal joint; midtarsal locking; normal human; priority journal; rearfoot strike; rigidity; running strike pattern; windlass mechanism; biomechanics; foot joint; physiology; running; young adult; Adult; Biomechanical Phenomena; Female; Foot Joints; Humans; Kinetics; Running; Young Adult,Journal,Final,,Scopus,2-s2.0-85045559964
"Stringer B.J., Shumway S.B., Holbrook M.D., Copeland C.G., Gosch A.A., Kück K.",57201645135;57201646242;57200335858;57217508772;57201650328;7102837693;,Dual-wavelength reflectance spectroscopy of the superior vena cava: A method for placing central venous catheters at the cavoatrial junction,2018,Journal of Biophotonics,NULL,11,4, e201700018,,,,,10.1002/jbio.201700018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045506005&doi=10.1002%2fjbio.201700018&partnerID=40&md5=a7fd09531100af51a04951b504636cf0,"Verum TCS, LLC, Salt Lake City, UT, United States; Department of Bioengineering, University of Utah, Salt Lake City, UT, United States; Department of Anesthesiology, University of Utah, Salt Lake City, UT, United States; Department of Biomedical Engineering, Duke University, Durham, NC, United States; Department of Plant and Wildlife Sciences, Brigham Young University, Provo, UT, United States","Stringer, B.J., Verum TCS, LLC, Salt Lake City, UT, United States, Department of Bioengineering, University of Utah, Salt Lake City, UT, United States, Department of Anesthesiology, University of Utah, Salt Lake City, UT, United States; Shumway, S.B., Verum TCS, LLC, Salt Lake City, UT, United States; Holbrook, M.D., Verum TCS, LLC, Salt Lake City, UT, United States, Department of Biomedical Engineering, Duke University, Durham, NC, United States; Copeland, C.G., Verum TCS, LLC, Salt Lake City, UT, United States; Gosch, A.A., Verum TCS, LLC, Salt Lake City, UT, United States, Department of Plant and Wildlife Sciences, Brigham Young University, Provo, UT, United States; Kück, K., Department of Bioengineering, University of Utah, Salt Lake City, UT, United States, Department of Anesthesiology, University of Utah, Salt Lake City, UT, United States","There are a limited number of methods to guide and confirm the placement of a peripherally inserted central catheter (PICC) at the cavoatrial junction. The aim of this study was to design, test and validate a dual-wavelength, diode laser-based, single optical fiber instrument that would accurately confirm PICC tip location at the cavoatrial junction of an animal heart, in vivo. This was accomplished by inserting the optical fiber into a PICC and ratiometrically comparing simultaneous visible and near-infrared reflection intensities of venous and atrial tissues found near the cavoatrial junction. The system was successful in placing the PICC line tip within 5 mm of the cavoatrial junction. © 2017 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim",atrium; cavoatrial junction; laser; PICC; stylet; superior vena cava,"Infrared devices; Lasers; Optical fibers; atrium; cavoatrial junction; PICC; stylet; Superior vena cava; Catheters; animal; central venous catheter; heart atrium; pig; spectroscopy; superior cava vein; Animals; Central Venous Catheters; Heart Atria; Spectrum Analysis; Swine; Vena Cava, Superior",Journal,Final,,Scopus,2-s2.0-85045506005
"Shamsabadi A., Schwicht D.E.W., Dasmeh A., Rollins K.M., Taciroglu E.",6507359986;57214365851;57212088299;7003663333;6602889035;,Validated Lateral Seismic Force-Displacement Backbone Curves for High-Speed Rail Bridge Abutments,2020,Journal of Bridge Engineering,NULL,25,4,4020009,,,,,10.1061/(ASCE)BE.1943-5592.0001533,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078709122&doi=10.1061%2f%28ASCE%29BE.1943-5592.0001533&partnerID=40&md5=8191ff6e98a6ccd9ce0f3ff0dc49b6e1,"Supervising Transportation Engineer, California High Speed Rail Authority, Sacramento, CA  95814, United States; Dept. of Civil and Environmental Engineering, Brigham Young Univ., Provo, UT  84602, United States; Structural Analyst Engineer, Structus, Inc., 160 Pine St., San Francisco, CA  94111, United States; Dept. of Civil and Environmental Engineering, Univ. of California Los Angeles, Los Angeles, CA  90095, United States","Shamsabadi, A., Supervising Transportation Engineer, California High Speed Rail Authority, Sacramento, CA  95814, United States; Schwicht, D.E.W., Dept. of Civil and Environmental Engineering, Brigham Young Univ., Provo, UT  84602, United States; Dasmeh, A., Structural Analyst Engineer, Structus, Inc., 160 Pine St., San Francisco, CA  94111, United States; Rollins, K.M., Dept. of Civil and Environmental Engineering, Brigham Young Univ., Provo, UT  84602, United States; Taciroglu, E., Dept. of Civil and Environmental Engineering, Univ. of California Los Angeles, Los Angeles, CA  90095, United States","California's high-speed rail (HSR) system is slated to traverse nearly the entire length of the state, and thus it will be exposed to seismic risks from almost every known major tectonic fault there. The present study deals with the seismic responses of bridge-abutment transition backfills (BATBs), which are essential components of HSR bridges. BATBs provide a gradual variation of vertical stiffness between the bridge deck and nominal engineered backfill, enabling smooth operations for trains traveling at high speeds. All prior investigations focused on this vertical stiffness in order to better characterize the localized vertical differential movements around BATBs under periodic high axial loads from train sets. Lateral behavior of BATBs, which would be important under seismic loads, has not previously been investigated. The present study offers a parametric nonlinear lateral force-displacement backbone curve for BATBs that is verified against three-dimensional finite-element models and validated against data from large-scale tests conducted at Brigham Young University. The parametric curve takes backwall height as well as abutment skew angle into account. © 2020 American Society of Civil Engineers.",,Railroad transportation; Seismology; Stiffness; Backbone curves; High speed rail; Large scale tests; Parametric curve; Tectonic faults; Three dimensional finite element model; Vertical differential movement; Vertical stiffness; Abutments (bridge),Journal,Final,,Scopus,2-s2.0-85078709122
"Lu W., Cao Q., Xu B., Adidharma H., Gasem K., Argyle M., Zhang F., Zhang Y., Fan M.",57194874146;8935141300;57194231165;6601976036;35547089300;7004479819;55413647400;55739722900;7201970805;,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,2020,Journal of Cleaner Production,NULL,265,2,121786,,,,,10.1016/j.jclepro.2020.121786,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084075876&doi=10.1016%2fj.jclepro.2020.121786&partnerID=40&md5=9fcb84cfe391ff168195ff2dc9da151c,"Department of Chemical, University of Wyoming, Laramie, WY  82071, United States; Chemical Engineering Department, Brigham Young University, Provo, UT  84602, United States; Western Research Institute, 3474 North 3rd Street, Laramie, WY  82072, United States; School of Energy Resources, University of Wyoming, Laramie, WY  82071, United States; School of Civil & Environmental Engineering, Georgia Institute of Technology, Atlanta, GA  30332, United States; Department of Chemical & Petroleum Engineering, University of Wyoming, Laramie, WY  82071, United States","Lu, W., Department of Chemical, University of Wyoming, Laramie, WY  82071, United States; Cao, Q., Department of Chemical, University of Wyoming, Laramie, WY  82071, United States; Xu, B., Department of Chemical, University of Wyoming, Laramie, WY  82071, United States; Adidharma, H., Department of Chemical & Petroleum Engineering, University of Wyoming, Laramie, WY  82071, United States; Gasem, K., Department of Chemical & Petroleum Engineering, University of Wyoming, Laramie, WY  82071, United States; Argyle, M., Chemical Engineering Department, Brigham Young University, Provo, UT  84602, United States; Zhang, F., Department of Chemical, University of Wyoming, Laramie, WY  82071, United States; Zhang, Y., Western Research Institute, 3474 North 3rd Street, Laramie, WY  82072, United States; Fan, M., Department of Chemical, University of Wyoming, Laramie, WY  82071, United States, School of Energy Resources, University of Wyoming, Laramie, WY  82071, United States, School of Civil & Environmental Engineering, Georgia Institute of Technology, Atlanta, GA  30332, United States, Department of Chemical & Petroleum Engineering, University of Wyoming, Laramie, WY  82071, United States","This research is designed to make progress in overcoming the challenges through the development of a two-stage coal processing. Specifically, a two-stage process was used to maximize the use of the carbon in coal or increase the carbon monoxide yield or lower carbon dioxide and methane yields. Carbon dioxide-char gasification in the absence of water can generate carbon monoxide with near-zero methane, which is desired to produce high-carbon and low-hydrogen chemicals such as oxalic acid through catalytic carbon monoxide coupling and hydrolysis. The technology is applicable to any coal, although Power River Basin (PRB) coal is used as an example feedstock in this research Also, the sodium-iron catalyst can accelerate not only the reaction kinetics in both stages but also increase the hydrogen/carbon monoxide ratio in the syngas produced in the second stage. In other words, the catalyst is a multifunctional agent, which can not only intensify the overall coal process efficiency but also improve the qualities of the desired syngas products and reduce carbon dioxide emission. Thus, In the 1st stage, the catalysts can significantly reduce the CO2-char gasification by as high as 75.00%. In the 2nd stage, the H2/CO ratio of ideal syngas is _2:1 with near-0 CH4 generation and the CH4 production can be reduced as high as 61.29% for the CO2–H2O-Char coal gasification. The activation energy for the 2nd stage is reduced by as high as 35.43% than that of raw coal without use Na–Fe catalyst. The overall carbon footprint reduction for the study is reduced by 87.33% in the 1st stage and 96.77% compared to the direct coal combustion. © 2020 Elsevier Ltd",Catalysis; CO2 reduction; Coal; Gasification; Ideal syngas; Pyrolysis,Activation energy; Carbon dioxide; Carbon dioxide process; Carbon footprint; Carbon monoxide; Catalysts; Coal; Global warming; Iron research; Methane; Oxalic acid; Reaction kinetics; Synthesis gas; Synthesis gas manufacture; Carbon and hydrogens; Carbon dioxide emissions; Carbon footprint reductions; Char gasification; Multifunctional agents; Process efficiency; Syngas production; Two-stage process; Coal combustion,Journal,Final,,Scopus,2-s2.0-85084075876
"Ogbeibu S., Emelifeonwu J., Senadjki A., Gaskin J., Kaivo-oja J.",57202293242;57203024588;57160053200;36006215900;55944615300;,"Technological turbulence and greening of team creativity, product innovation, and human resource management: Implications for sustainability",2020,Journal of Cleaner Production,NULL,244,4,118703,,,,7,10.1016/j.jclepro.2019.118703,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073096222&doi=10.1016%2fj.jclepro.2019.118703&partnerID=40&md5=a6061881f8e605429b2ea6c71d6d75e3,"Curtin University, Faculty of Business, CDT 250, Miri, Sarawak  98009, Malaysia; Universiti Tunku Abdul Rahman (UTAR), Faculty of Business and Finance, Jalan Universiti, Bandar Barat, Kampar, Perak  31900, Malaysia; Brigham Young University, Provo, UT  84602, United States; University of Turku, Turun yliopistoFI-20014, Finland","Ogbeibu, S., Curtin University, Faculty of Business, CDT 250, Miri, Sarawak  98009, Malaysia; Emelifeonwu, J., Curtin University, Faculty of Business, CDT 250, Miri, Sarawak  98009, Malaysia; Senadjki, A., Universiti Tunku Abdul Rahman (UTAR), Faculty of Business and Finance, Jalan Universiti, Bandar Barat, Kampar, Perak  31900, Malaysia; Gaskin, J., Brigham Young University, Provo, UT  84602, United States; Kaivo-oja, J., University of Turku, Turun yliopistoFI-20014, Finland","Given the overwhelming increase in technological advancements and global warming concerns, our study attempts to investigate the predictive powers of green human resource management (GHRM) bundles and green team creativity on green product innovation. Additionally, we examine the roles of technological turbulence and environmental dynamic capability. We have administered a cross-sectional (time lag) survey design with 229 respondents from 31 manufacturing organisations in Malaysia and employed the partial least square path modelling (SmartPLS3) for data analysis. Results indicate that technological turbulence, green recruitment and selection and green training, involvement and development are positive predictors of green team creativity. Green performance and compensation negatively predict green team creativity. While green team creativity positively predicts green product innovation, environmental dynamic capability negatively predicts green product innovation. Technological turbulence reinforces the positive impact of green recruitment and selection on green team creativity and dampens the positive impact of green training, involvement and development on green team creativity. Furthermore, green team creativity is a complementary and competitive mediator. By simultaneously investigating the predictive powers of technological turbulence, green team creativity and environmental dynamic capability in our study, we offer novel insights that extend traditional HRM conceptualisations to reflect a more environmentally sustainable GHRM framework. Policy implications and future directions are also discussed. © 2019 Elsevier Ltd",Environmental dynamic capability; Green human resource management bundles; Green product innovation; Green team creativity; Technological turbulence,Global warming; Public policy; Resource allocation; Surveys; Sustainable development; Turbulence; Environmental dynamics; Green human resource management bundles; Green products; Team creativity; Technological turbulences; Human resource management,Journal,Final,,Scopus,2-s2.0-85073096222
"Wu F., Zhou Z., Temizel-Sekeryan S., Ghamkhar R., Hicks A.L.",57193338296;57194692502;57202017958;57205128747;55829396600;,Assessing the environmental impact and payback of carbon nanotube supported CO2 capture technologies using LCA methodology,2020,Journal of Cleaner Production,NULL,270,9,122465,,,,,10.1016/j.jclepro.2020.122465,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087197973&doi=10.1016%2fj.jclepro.2020.122465&partnerID=40&md5=8ee89aa97e44a77779d3d78313988453,"School of Environment and Guangdong Key Laboratory of Environmental Pollution and Health, Jinan University, Guangzhou, 510632, China; Department of Civil and Environmental Engineering, University of Wisconsin-Madison, Madison, WI  53706, United States; Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States","Wu, F., School of Environment and Guangdong Key Laboratory of Environmental Pollution and Health, Jinan University, Guangzhou, 510632, China, Department of Civil and Environmental Engineering, University of Wisconsin-Madison, Madison, WI  53706, United States; Zhou, Z., Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States; Temizel-Sekeryan, S., Department of Civil and Environmental Engineering, University of Wisconsin-Madison, Madison, WI  53706, United States; Ghamkhar, R., Department of Civil and Environmental Engineering, University of Wisconsin-Madison, Madison, WI  53706, United States; Hicks, A.L., Department of Civil and Environmental Engineering, University of Wisconsin-Madison, Madison, WI  53706, United States","Climate change caused by excessive CO2 emissions in the atmosphere has attracted widespread public concern in recent years. Current industrial methods generally utilize monoethanolamine for CO2 capture; however, the CO2 regeneration requires a high temperature and energy demand during every adsorption/desorption process, along with material losses. Many solid amines with high capture capacity and stability are developed as adsorbents to overcome the limitations. However, the environmental impacts caused by adsorbents themselves are not holistically considered and discussed; meanwhile, material syntheses and consumptions are also associated with CO2 emission. To determine the environmental impacts and identify hotspots of novel CO2 capture adsorbents, two carbon nanotube supported polyethyleneimine, physically adsorbed and covalently bonded, were compared with traditional monoethanolamine method using life cycle assessment. The carbon payback periods were also analyzed to gain understanding on whether the currently evaluated novel materials are suitable for industrial application. Results suggest that, material usage, especially carbon nanotubes, contributes the majority of the overall environmental impacts for both types of carbon nanotube supported polyethyleneimine. Meanwhile, their carbon payback periods are over 40 times longer than monoethanolamine during the synthesis phase. However, the energy consumption of physically adsorbed polyethyleneimine saves up to 60% compared to monoethanolamine in every adsorption/desorption cycle due to its lower heat capacity. In addition, the rate of cumulative CO2 remission for carbon nanotube supported polyethyleneimine is twice higher than monoethanolamine, indicating the potential application for industrial CO2 capture. Overall, our study indicates that current status of solid amine has a potential in CO2 capture, but requires much improvements. Future research should pay attention on decreasing the initial material synthesis and increasing the product life time due to their high environmental tradeoffs. Meanwhile, our study highlights that unilateral emphasis of the CO2 capture efficiency by novel materials may not be adequate, comprehensive considerations should be focused on the comparison throughout material life cycles including use and preparation phases. © 2020 Elsevier Ltd",Carbon nanotube; CO2 capture; Life cycle assessment; Payback period; Solid amine,Amines; Carbon dioxide; Carbon nanotubes; Climate change; Energy utilization; Environmental technology; Ethanolamines; Investments; Life cycle; Specific heat; Adsorption/desorption; Covalently bonded; High temperature; Industrial methods; Material synthesis; Monoethanolamine; Polyethyleneimine; Preparation phasis; Environmental impact,Journal,Final,,Scopus,2-s2.0-85087197973
